,Day,ParameterName,ReportingArea,Category_17,Category_18,Latitude,Longitude,Date_17,Date_18,AQI17,AQI18,AQI_Delta,AQI_DeltaP
41,11 ,OZONE,Napa,Good,Good,38.33,-122.28,2017-10-11 ,2018-10-11 ,39,35,-4,111.42857142857143
42,11 ,OZONE,Oakland,Good,Good,37.8,-122.27,2017-10-11 ,2018-10-11 ,31,27,-4,114.81481481481481
43,11 ,OZONE,Redwood City,Good,Good,37.48,-122.22,2017-10-11 ,2018-10-11 ,31,28,-3,110.71428571428572
44,11 ,OZONE,San Francisco,Good,Good,37.75,-122.43,2017-10-11 ,2018-10-11 ,20,31,11,64.51612903225806
45,11 ,OZONE,San Jose,Moderate,Good,37.33,-121.9,2017-10-11 ,2018-10-11 ,54,39,-15,138.46153846153845
46,11 ,OZONE,San Rafael,Good,Good,37.97,-122.52,2017-10-11 ,2018-10-11 ,31,28,-3,110.71428571428572
47,11 ,OZONE,Santa Rosa,Good,Good,38.45,-122.7,2017-10-11 ,2018-10-11 ,39,27,-12,144.44444444444443
48,11 ,OZONE,Vacaville,Good,Good,38.3525,-121.9617,2017-10-11 ,2018-10-11 ,35,40,5,87.5
49,11 ,PM2.5,Concord,Unhealthy,Good,37.97,-122.03,2017-10-11 ,2018-10-11 ,169,22,-147,768.1818181818181
50,11 ,PM2.5,Fremont,Unhealthy for Sensitive Groups,Good,37.55,-122.03,2017-10-11 ,2018-10-11 ,126,34,-92,370.5882352941177
51,11 ,PM2.5,Livermore,Unhealthy for Sensitive Groups,Good,37.68,-121.77,2017-10-11 ,2018-10-11 ,106,35,-71,302.85714285714283
52,11 ,PM2.5,Oakland,Unhealthy for Sensitive Groups,Good,37.8,-122.27,2017-10-11 ,2018-10-11 ,124,49,-75,253.06122448979593
53,11 ,PM2.5,Redwood City,Unhealthy for Sensitive Groups,Good,37.48,-122.22,2017-10-11 ,2018-10-11 ,126,34,-92,370.5882352941177
54,11 ,PM2.5,San Francisco,Moderate,Good,37.75,-122.43,2017-10-11 ,2018-10-11 ,78,31,-47,251.61290322580646
55,11 ,PM2.5,San Jose,Unhealthy for Sensitive Groups,Good,37.33,-121.9,2017-10-11 ,2018-10-11 ,114,28,-86,407.1428571428571
56,11 ,PM2.5,San Rafael,Moderate,Good,37.97,-122.52,2017-10-11 ,2018-10-11 ,87,32,-55,271.875
57,11 ,PM2.5,Santa Rosa,Moderate,Good,38.45,-122.7,2017-10-11 ,2018-10-11 ,80,6,-74,1333.3333333333335
58,12 ,OZONE,Concord,Good,Good,37.97,-122.03,2017-10-12 ,2018-10-12 ,48,32,-16,150.0
59,12 ,OZONE,Fairfield,Moderate,Good,38.25,-122.04,2017-10-12 ,2018-10-12 ,51,41,-10,124.39024390243902
60,12 ,OZONE,Fremont,Good,Good,37.55,-122.03,2017-10-12 ,2018-10-12 ,48,33,-15,145.45454545454547
61,12 ,OZONE,Livermore,Good,Good,37.68,-121.77,2017-10-12 ,2018-10-12 ,40,36,-4,111.11111111111111
62,12 ,OZONE,Napa,Good,Good,38.33,-122.28,2017-10-12 ,2018-10-12 ,44,39,-5,112.82051282051282
63,12 ,OZONE,Oakland,Good,Good,37.8,-122.27,2017-10-12 ,2018-10-12 ,40,25,-15,160.0
64,12 ,OZONE,Redwood City,Good,Good,37.48,-122.22,2017-10-12 ,2018-10-12 ,47,33,-14,142.42424242424244
65,12 ,OZONE,San Francisco,Good,Good,37.75,-122.43,2017-10-12 ,2018-10-12 ,27,27,0,100.0
66,12 ,OZONE,San Jose,Moderate,Good,37.33,-121.9,2017-10-12 ,2018-10-12 ,67,43,-24,155.8139534883721
67,12 ,OZONE,San Rafael,Good,Good,37.97,-122.52,2017-10-12 ,2018-10-12 ,35,34,-1,102.94117647058823
68,12 ,OZONE,Santa Rosa,Good,Good,38.45,-122.7,2017-10-12 ,2018-10-12 ,34,31,-3,109.6774193548387
69,12 ,OZONE,Vacaville,Good,Good,38.3525,-121.9617,2017-10-12 ,2018-10-12 ,34,36,2,94.44444444444444
70,12 ,PM2.5,Concord,Unhealthy,Good,37.97,-122.03,2017-10-12 ,2018-10-12 ,155,20,-135,775.0
