,zip,AQI,Category,DateObserved,Latitude,Longitude,ParameterName,ReportingArea,StateCode,type,coordinates,geometry
1270,94503,109,Unhealthy for Sensitive Groups,2017-10-14,38.33,-122.28,PM2.5,Napa,CA,Point,"[38.33, -122.28]","['Point', [38.33, -122.28]]"
1271,95407,49,Good,2017-10-15,38.45,-122.7,OZONE,Santa Rosa,CA,Point,"[38.45, -122.7]","['Point', [38.45, -122.7]]"
1272,95407,67,Moderate,2017-10-15,38.45,-122.7,PM2.5,Santa Rosa,CA,Point,"[38.45, -122.7]","['Point', [38.45, -122.7]]"
1273,94143,31,Good,2017-10-15,37.75,-122.43,OZONE,San Francisco,CA,Point,"[37.75, -122.43]","['Point', [37.75, -122.43]]"
1274,94143,40,Good,2017-10-15,37.75,-122.43,PM2.5,San Francisco,CA,Point,"[37.75, -122.43]","['Point', [37.75, -122.43]]"
1275,95131,54,Moderate,2017-10-09,37.33,-121.9,OZONE,San Jose,CA,Point,"[37.33, -121.9]","['Point', [37.33, -121.9]]"
1276,95131,47,Good,2017-10-09,37.33,-121.9,PM2.5,San Jose,CA,Point,"[37.33, -121.9]","['Point', [37.33, -121.9]]"
1277,94702,42,Good,2017-10-10,37.8,-122.27,OZONE,Oakland,CA,Point,"[37.8, -122.27]","['Point', [37.8, -122.27]]"
1278,94702,116,Unhealthy for Sensitive Groups,2017-10-10,37.8,-122.27,PM2.5,Oakland,CA,Point,"[37.8, -122.27]","['Point', [37.8, -122.27]]"
1279,94020,31,Good,2017-10-11,37.48,-122.22,OZONE,Redwood City,CA,Point,"[37.48, -122.22]","['Point', [37.48, -122.22]]"
1280,94020,126,Unhealthy for Sensitive Groups,2017-10-11,37.48,-122.22,PM2.5,Redwood City,CA,Point,"[37.48, -122.22]","['Point', [37.48, -122.22]]"
1281,94062,47,Good,2017-10-12,37.48,-122.22,OZONE,Redwood City,CA,Point,"[37.48, -122.22]","['Point', [37.48, -122.22]]"
1282,94062,154,Unhealthy,2017-10-12,37.48,-122.22,PM2.5,Redwood City,CA,Point,"[37.48, -122.22]","['Point', [37.48, -122.22]]"
1283,94928,43,Good,2017-10-13,38.45,-122.7,OZONE,Santa Rosa,CA,Point,"[38.45, -122.7]","['Point', [38.45, -122.7]]"
1284,94928,96,Moderate,2017-10-13,38.45,-122.7,PM2.5,Santa Rosa,CA,Point,"[38.45, -122.7]","['Point', [38.45, -122.7]]"
1285,95160,43,Good,2017-10-14,37.33,-121.9,OZONE,San Jose,CA,Point,"[37.33, -121.9]","['Point', [37.33, -121.9]]"
1286,95160,84,Moderate,2017-10-14,37.33,-121.9,PM2.5,San Jose,CA,Point,"[37.33, -121.9]","['Point', [37.33, -121.9]]"
1287,94005,31,Good,2017-10-15,37.75,-122.43,OZONE,San Francisco,CA,Point,"[37.75, -122.43]","['Point', [37.75, -122.43]]"
1288,94005,40,Good,2017-10-15,37.75,-122.43,PM2.5,San Francisco,CA,Point,"[37.75, -122.43]","['Point', [37.75, -122.43]]"
1289,94570,49,Good,2017-10-15,37.8,-122.27,OZONE,Oakland,CA,Point,"[37.8, -122.27]","['Point', [37.8, -122.27]]"
1290,94570,53,Moderate,2017-10-15,37.8,-122.27,PM2.5,Oakland,CA,Point,"[37.8, -122.27]","['Point', [37.8, -122.27]]"
1291,95113,54,Moderate,2017-10-09,37.33,-121.9,OZONE,San Jose,CA,Point,"[37.33, -121.9]","['Point', [37.33, -121.9]]"
1292,95113,47,Good,2017-10-09,37.33,-121.9,PM2.5,San Jose,CA,Point,"[37.33, -121.9]","['Point', [37.33, -121.9]]"
1293,94964,61,Moderate,2017-10-10,37.97,-122.52,OZONE,San Rafael,CA,Point,"[37.97, -122.52]","['Point', [37.97, -122.52]]"
1294,94964,156,Unhealthy,2017-10-10,37.97,-122.52,PM2.5,San Rafael,CA,Point,"[37.97, -122.52]","['Point', [37.97, -122.52]]"
1295,95696,35,Good,2017-10-11,38.3525,-121.9617,OZONE,Vacaville,CA,Point,"[38.3525, -121.9617]","['Point', [38.3525, -121.9617]]"
1296,95696,182,Unhealthy,2017-10-11,38.3525,-121.9617,PM2.5,Vacaville,CA,Point,"[38.3525, -121.9617]","['Point', [38.3525, -121.9617]]"
1297,95152,67,Moderate,2017-10-12,37.33,-121.9,OZONE,San Jose,CA,Point,"[37.33, -121.9]","['Point', [37.33, -121.9]]"
1298,95152,99,Moderate,2017-10-12,37.33,-121.9,PM2.5,San Jose,CA,Point,"[37.33, -121.9]","['Point', [37.33, -121.9]]"
1299,94134,27,Good,2017-10-13,37.75,-122.43,OZONE,San Francisco,CA,Point,"[37.75, -122.43]","['Point', [37.75, -122.43]]"
1300,94134,98,Moderate,2017-10-13,37.75,-122.43,PM2.5,San Francisco,CA,Point,"[37.75, -122.43]","['Point', [37.75, -122.43]]"
1301,94947,44,Good,2017-10-14,37.97,-122.52,OZONE,San Rafael,CA,Point,"[37.97, -122.52]","['Point', [37.97, -122.52]]"
1302,94947,80,Moderate,2017-10-14,37.97,-122.52,PM2.5,San Rafael,CA,Point,"[37.97, -122.52]","['Point', [37.97, -122.52]]"
1303,95694,42,Good,2017-10-15,38.3525,-121.9617,OZONE,Vacaville,CA,Point,"[38.3525, -121.9617]","['Point', [38.3525, -121.9617]]"
1304,95694,19,Good,2017-10-15,38.3525,-121.9617,PM2.5,Vacaville,CA,Point,"[38.3525, -121.9617]","['Point', [38.3525, -121.9617]]"
1305,94024,67,Moderate,2017-10-15,37.33,-121.9,OZONE,San Jose,CA,Point,"[37.33, -121.9]","['Point', [37.33, -121.9]]"
1306,94024,40,Good,2017-10-15,37.33,-121.9,PM2.5,San Jose,CA,Point,"[37.33, -121.9]","['Point', [37.33, -121.9]]"
1307,94576,40,Good,2017-10-09,38.45,-122.7,OZONE,Santa Rosa,CA,Point,"[38.45, -122.7]","['Point', [38.45, -122.7]]"
1308,94576,152,Unhealthy,2017-10-09,38.45,-122.7,PM2.5,Santa Rosa,CA,Point,"[38.45, -122.7]","['Point', [38.45, -122.7]]"
1309,94556,42,Good,2017-10-10,37.8,-122.27,OZONE,Oakland,CA,Point,"[37.8, -122.27]","['Point', [37.8, -122.27]]"
1310,94556,116,Unhealthy for Sensitive Groups,2017-10-10,37.8,-122.27,PM2.5,Oakland,CA,Point,"[37.8, -122.27]","['Point', [37.8, -122.27]]"
1311,94065,31,Good,2017-10-11,37.48,-122.22,OZONE,Redwood City,CA,Point,"[37.48, -122.22]","['Point', [37.48, -122.22]]"
1312,94065,126,Unhealthy for Sensitive Groups,2017-10-11,37.48,-122.22,PM2.5,Redwood City,CA,Point,"[37.48, -122.22]","['Point', [37.48, -122.22]]"
1313,95402,34,Good,2017-10-12,38.45,-122.7,OZONE,Santa Rosa,CA,Point,"[38.45, -122.7]","['Point', [38.45, -122.7]]"
1314,95402,67,Moderate,2017-10-12,38.45,-122.7,PM2.5,Santa Rosa,CA,Point,"[38.45, -122.7]","['Point', [38.45, -122.7]]"
1315,94602,45,Good,2017-10-13,37.8,-122.27,OZONE,Oakland,CA,Point,"[37.8, -122.27]","['Point', [37.8, -122.27]]"
1316,94602,159,Unhealthy,2017-10-13,37.8,-122.27,PM2.5,Oakland,CA,Point,"[37.8, -122.27]","['Point', [37.8, -122.27]]"
1317,94574,43,Good,2017-10-14,38.45,-122.7,OZONE,Santa Rosa,CA,Point,"[38.45, -122.7]","['Point', [38.45, -122.7]]"
1318,94574,64,Moderate,2017-10-14,38.45,-122.7,PM2.5,Santa Rosa,CA,Point,"[38.45, -122.7]","['Point', [38.45, -122.7]]"
1319,94720,49,Good,2017-10-15,37.8,-122.27,OZONE,Oakland,CA,Point,"[37.8, -122.27]","['Point', [37.8, -122.27]]"
1320,94720,53,Moderate,2017-10-15,37.8,-122.27,PM2.5,Oakland,CA,Point,"[37.8, -122.27]","['Point', [37.8, -122.27]]"
1321,94306,58,Moderate,2017-10-15,37.48,-122.22,OZONE,Redwood City,CA,Point,"[37.48, -122.22]","['Point', [37.48, -122.22]]"
1322,94306,40,Good,2017-10-15,37.48,-122.22,PM2.5,Redwood City,CA,Point,"[37.48, -122.22]","['Point', [37.48, -122.22]]"
1323,94117,34,Good,2017-10-09,37.75,-122.43,OZONE,San Francisco,CA,Point,"[37.75, -122.43]","['Point', [37.75, -122.43]]"
1324,94117,100,Moderate,2017-10-09,37.75,-122.43,PM2.5,San Francisco,CA,Point,"[37.75, -122.43]","['Point', [37.75, -122.43]]"
1325,94708,42,Good,2017-10-10,37.8,-122.27,OZONE,Oakland,CA,Point,"[37.8, -122.27]","['Point', [37.8, -122.27]]"
1326,94708,116,Unhealthy for Sensitive Groups,2017-10-10,37.8,-122.27,PM2.5,Oakland,CA,Point,"[37.8, -122.27]","['Point', [37.8, -122.27]]"
1327,94706,31,Good,2017-10-11,37.8,-122.27,OZONE,Oakland,CA,Point,"[37.8, -122.27]","['Point', [37.8, -122.27]]"
1328,94706,124,Unhealthy for Sensitive Groups,2017-10-11,37.8,-122.27,PM2.5,Oakland,CA,Point,"[37.8, -122.27]","['Point', [37.8, -122.27]]"
1329,95070,61,Moderate,2017-10-13,37.33,-121.9,OZONE,San Jose,CA,Point,"[37.33, -121.9]","['Point', [37.33, -121.9]]"
1330,95070,136,Unhealthy for Sensitive Groups,2017-10-13,37.33,-121.9,PM2.5,San Jose,CA,Point,"[37.33, -121.9]","['Point', [37.33, -121.9]]"
1331,95164,43,Good,2017-10-14,37.33,-121.9,OZONE,San Jose,CA,Point,"[37.33, -121.9]","['Point', [37.33, -121.9]]"
1332,95164,84,Moderate,2017-10-14,37.33,-121.9,PM2.5,San Jose,CA,Point,"[37.33, -121.9]","['Point', [37.33, -121.9]]"
1333,95139,67,Moderate,2017-10-15,37.33,-121.9,OZONE,San Jose,CA,Point,"[37.33, -121.9]","['Point', [37.33, -121.9]]"
1334,95139,40,Good,2017-10-15,37.33,-121.9,PM2.5,San Jose,CA,Point,"[37.33, -121.9]","['Point', [37.33, -121.9]]"
1335,94533,64,Moderate,2017-10-15,38.25,-122.04,OZONE,Fairfield,CA,Point,"[38.25, -122.04]","['Point', [38.25, -122.04]]"
1336,94533,44,Good,2017-10-15,38.25,-122.04,PM2.5,Fairfield,CA,Point,"[38.25, -122.04]","['Point', [38.25, -122.04]]"
1337,94132,34,Good,2017-10-09,37.75,-122.43,OZONE,San Francisco,CA,Point,"[37.75, -122.43]","['Point', [37.75, -122.43]]"
